City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bohicon,BJ,75.49,overcast clouds,7.1783,2.0667,Hôtel La Majesté
5,Baculin,PH,78.13,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
6,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
8,Cockburn Town,TC,82.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
9,Porto Nacional,BR,89.6,few clouds,-10.7081,-48.4172,Vila Real Hotel
12,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
13,Rikitea,PF,75.49,light rain,-23.1203,-134.9692,People ThankYou
18,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
20,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Sola,VU,81.32,scattered clouds,-13.8833,167.55,Leumerus Bungalows
23,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Miracema Do Tocantins,BR,90.43,clear sky,-9.5618,-48.3967,Miami Apart Hotel
32,Dingle,PH,74.82,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
33,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
36,Mahebourg,MU,75.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Hun,LY,71.2,overcast clouds,29.1268,15.9477,Alrwasi Hotel
40,Tahoua,NE,87.62,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
51,Souillac,MU,75.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
55,Taoudenni,ML,86.45,overcast clouds,22.6783,-3.9836,
